business_id,cashflow_shortfall_amount,shortfall_flag
B76920-564358,8258.29,0
B82486-348217,36420.03,0
B60363-205070,22777.69,0
B16123-104619,53276.45,0
B64920-732622,-7250.4,1
B59835-640162,15316.4,0
B63055-639700,27533.8,0
B68069-49131,71770.79,0
B5411-137652,-5421.14,1
B25758-151074,736.96,0
B18531-305916,-1224.73,1
B66903-771499,11712.22,0
B31651-68955,-11245.24,1
B3990-762561,32253.28,0
B80138-388912,-11344.82,1
B10727-854219,16883.69,0
B8892-699586,17213.88,0
B74069-585731,29716.15,0
B23997-661247,32348.51,0
B68248-277406,12408.07,0
B80177-183459,14364.44,0
B36020-634834,16266.2,0
B69579-681046,25953.51,0
B89575-783497,29448.11,0
B79053-738194,991.59,0
B40857-940578,9956.28,0
B9792-634573,10892.05,0
B45858-971367,13184.6,0
B65797-379918,-6942.76,1
B37165-782998,48445.01,0
B92193-896657,54985.28,0
B99399-902419,12324.47,0
B40497-121331,17681.34,0
B89889-437471,34546.23,0
B55691-646149,10233.68,0
B24400-969041,-7433.77,1
B39199-73009,1630.84,0
B8671-19759,1246.69,0
B52351-955757,26871.21,0
B96454-172756,11354.28,0
B98118-920896,35648.83,0
B8210-323767,32523.22,0
B98906-722247,27394.4,0
B306-123201,34372.99,0
B50115-136415,32338.29,0
B88039-607308,4372.96,0
B56144-900796,12723.2,0
B67314-828618,-2789.97,1
B55920-998709,12151.6,0
B81834-114226,-27279.98,1
B93526-605992,-26042.18,1
B42657-398299,4458.5,0
B69263-554216,-8865.61,1
B26039-979618,-4485.34,1
B18147-725116,8330.51,0
B26205-637124,23431.84,0
B22076-645570,6837.41,0
B44362-592911,29156.89,0
B66942-938824,4595.71,0
B92887-70799,20089.18,0
B55116-249822,14024.73,0
B22059-145548,33617.02,0
B5630-366505,14107.05,0
B97604-603307,5094.46,0
B51105-865362,9561.98,0
B39453-311772,5802.53,0
B83311-721922,-9578.74,1
B65418-974046,12396.57,0
B26836-994774,24375.99,0
B94309-99899,15122.2,0
B954-903359,6620.42,0
B7492-697397,-4930.43,1
B87192-639709,13190.41,0
B70567-80384,33338.55,0
B52762-55529,15384.81,0
B98606-291728,10313.47,0
B12788-348772,23664.95,0
B25442-862350,4367.37,0
B67963-988205,7753.9,0
B52183-706009,23206.18,0
B22771-360911,-9504.0,1
B86302-395361,15042.99,0
B15808-312619,36981.63,0
B92006-554159,-1391.28,1
B11511-562056,-39846.34,1
B3011-509583,53173.5,0
B83863-645855,15337.6,0
