business_id,cashflow_shortfall_amount,shortfall_flag
B15895-558290,2906.58,0
B960-572333,1915.73,0
B54986-703355,15723.36,0
B6365-427300,3083.44,0
B37294-850513,15229.5,0
B87598-186783,1329.75,0
B44231-70636,4851.16,0
B41190-152667,11039.62,0
B67321-591247,20277.37,0
B869-116149,10287.27,0
B65025-316609,24867.25,0
B83204-766602,-8448.1,1
B53807-229611,-5313.88,1
B85405-95441,14718.28,0
B28793-924944,14591.32,0
B72032-324019,-870.73,1
B93116-509687,-10997.43,1
B84578-78596,2118.26,0
B2847-266049,-23960.83,1
B59250-384758,8823.94,0
B65825-967229,-11677.28,1
B84754-443843,25107.72,0
B35873-666034,17084.2,0
B67535-364155,13051.37,0
B56986-104213,15796.47,0
B11494-493202,16117.25,0
B69192-263183,3676.31,0
B41706-758196,30090.14,0
B96376-961692,30120.41,0
B87413-725060,17698.37,0
B43101-635807,31470.67,0
B76652-609917,-2793.7,1
B23583-422646,6167.39,0
B48655-761047,-2414.58,1
B17259-460443,20114.26,0
B92167-618840,32969.38,0
B67221-187161,39755.26,0
B19557-145817,-15977.99,1
B66657-478844,54979.82,0
B77289-506213,38859.28,0
B53095-773754,19454.74,0
B72509-611110,-1685.96,1
B71311-955495,5102.78,0
B32706-601718,25107.55,0
B11634-345870,3639.8,0
B94763-402134,3225.76,0
B91487-697354,13665.64,0
B1116-384838,-1018.62,1
B89912-387782,34023.72,0
B23347-896370,9169.4,0
B74165-252583,-9065.11,1
B82898-350907,-1309.49,1
B9368-386308,5686.75,0
B86907-24251,10959.67,0
B12285-691796,26163.32,0
B63804-356320,50371.86,0
B86879-808325,36303.7,0
B38144-368997,22976.3,0
B51314-718022,34917.22,0
B61328-157176,19387.46,0
B49084-10697,12402.0,0
B40874-118430,44165.56,0
B2668-403490,16923.43,0
B62692-602525,13244.05,0
B67663-259409,36960.06,0
B2795-420284,-8815.13,1
B48290-319969,-3047.85,1
B5358-709142,3626.91,0
B87638-14655,-1233.26,1
B39604-696971,9014.75,0
B33259-908841,-4627.54,1
B14086-545755,11431.5,0
B61958-221704,27715.26,0
B12766-766464,-1470.59,1
B38760-209568,12401.52,0
B3661-137117,16691.17,0
B26954-583059,18059.5,0
B64605-487004,15249.62,0
B22762-125829,-6735.88,1
B8492-414726,5874.5,0
B30635-23046,-548.02,1
B78703-493709,10882.06,0
B52356-94496,45687.74,0
B89235-612794,10348.61,0
B35322-160381,-10580.35,1
B77473-238128,44642.68,0
B79675-279382,-1623.13,1
B84751-861658,17538.2,0
B63435-767617,32651.24,0
B11065-398567,-2515.82,1
B24638-248795,30189.32,0
B70692-349844,43104.66,0
B79409-447617,-15936.55,1
B27366-178706,33991.19,0
B53092-496221,-5352.79,1
B83048-958701,6411.05,0
B7010-899337,15751.28,0
B91082-822830,1798.4,0
B87154-72679,-8141.53,1
B87997-442977,34190.44,0
B23519-850484,18983.33,0
B50736-897064,-8629.4,1
B54368-941352,51919.93,0
B18241-809806,39302.72,0
B80456-978299,26689.58,0
B72010-868232,9005.91,0
B33927-131097,10696.67,0
B62723-526907,18422.88,0
B75550-424737,27299.64,0
B22399-677380,36416.36,0
B43685-993004,20398.23,0
B64144-902834,10180.58,0
B49180-864726,30273.08,0
B2793-267203,4405.32,0
B95103-861095,-5469.3,1
B95359-996916,-4570.37,1
B49025-270002,26495.99,0
B43041-901821,21625.83,0
B21934-269807,20652.84,0
B75866-37640,23724.93,0
B15807-269637,-8657.73,1
B23876-107482,10159.82,0
B30180-472547,13959.43,0
B61473-344135,9895.42,0
B6876-154390,9589.12,0
B9574-138466,4778.25,0
B58153-336448,11369.72,0
B94956-411107,-1791.63,1
B3848-698087,-3238.69,1
B98198-322500,24078.19,0
B13645-322785,-3153.01,1
B66299-888318,13663.52,0
B34866-497671,26053.13,0
B73630-744748,23310.96,0
B93657-783451,32397.52,0
B61187-490146,17101.36,0
B95939-851053,-7892.59,1
B68940-586284,-2164.93,1
B54484-445183,22314.87,0
B46676-229487,11842.49,0
B62103-222983,28616.7,0
B52833-787480,27595.31,0
B89574-157026,-3166.27,1
B23764-867775,5359.47,0
B67272-237305,-11002.15,1
B85716-635134,6688.58,0
B93364-720966,27322.9,0
B90184-33448,22297.0,0
B38723-45279,-4311.91,1
B55780-164548,18427.43,0
B46817-210340,-10017.68,1
B50959-193891,3801.98,0
B26409-255685,25565.06,0
B87555-586051,37328.42,0
B63834-885400,32665.62,0
B37257-932053,-9171.24,1
B65833-149483,9420.07,0
B89145-749346,-15283.2,1
B34798-734854,-9613.27,1
B80723-932536,3812.74,0
B25284-891338,44041.8,0
B93484-108389,25879.1,0
B42207-712742,34526.39,0
B51763-411199,-20799.14,1
B49911-929672,2988.93,0
B2911-741492,40624.33,0
B56350-953637,21933.09,0
B72182-677792,20752.13,0
B34854-243654,-14984.67,1
B95842-762822,28745.36,0
B67370-236911,29142.02,0
B83979-70797,-21301.28,1
B71395-861495,6132.16,0
B88714-622091,8029.39,0
B11211-120975,-945.32,1
B37604-764839,44016.27,0
B1902-28243,1697.99,0
B8255-414380,15106.89,0
B73756-248050,16132.5,0
B39484-87593,9870.58,0
B22018-208239,8704.06,0
B86081-158149,26935.35,0
B60813-512029,-1251.38,1
B30406-442277,31279.66,0
B16746-400456,16658.91,0
B90835-566083,10345.99,0
B16471-362484,22684.27,0
B77471-344126,11891.85,0
B2149-801985,8757.4,0
B21032-36581,14762.7,0
B29955-246596,4620.72,0
B61534-47302,-326.6,1
B72794-14264,32925.87,0
B43116-107335,9417.97,0
B42742-105651,23728.1,0
B15251-923087,6225.99,0
B66790-593008,-1481.83,1
B4599-857544,-4337.84,1
B6395-744680,15843.09,0
B12283-308421,33947.74,0
B12974-807606,32880.59,0
B32811-638124,18925.04,0
B53451-894661,-2959.66,1
B61367-372283,5406.0,0
B48454-845115,57951.38,0
B2657-697250,19645.78,0
B38460-388695,14073.1,0
B82118-415814,12832.08,0
B2300-55854,37280.06,0
B68597-445169,-4113.74,1
B47075-718969,1550.51,0
B21457-322643,3971.39,0
B77605-724740,7627.52,0
B2969-559205,24884.7,0
B61235-928900,31270.53,0
B50208-735308,-7993.9,1
B94279-555246,-21986.06,1
B38567-882195,-29607.25,1
B23428-117186,-22016.63,1
B58971-301504,8711.41,0
B22499-967087,7790.02,0
B46314-100974,12566.95,0
B99622-804535,15095.99,0
B70371-545677,6061.27,0
B44164-971736,13807.62,0
B70191-63277,5067.48,0
B40918-767200,11908.78,0
B45625-627092,8007.35,0
B19930-731757,25059.84,0
B17529-181265,-3848.82,1
B6993-891313,-8301.31,1
B80009-726446,25968.88,0
B47433-727981,14704.39,0
B76313-471064,3140.15,0
B30846-285998,23376.28,0
B49477-663831,37676.35,0
B48504-386247,38549.45,0
B54145-623822,9368.71,0
B97988-763563,27315.13,0
B39890-72804,-4275.44,1
B5700-483952,14325.83,0
B93279-514398,5783.9,0
B40864-361837,13708.05,0
B74643-358054,1660.17,0
B56935-52278,11938.28,0
B73844-158456,-32244.22,1
B56591-975300,32157.09,0
B18689-723621,18153.24,0
B83089-529201,2317.86,0
B36312-364902,28041.21,0
B47302-315413,25579.37,0
B32735-12746,43970.35,0
B18811-595855,25732.78,0
B3520-605819,-33881.23,1
B96852-900606,-16490.15,1
B45336-832373,5804.62,0
B54340-300443,27565.16,0
B10592-785511,20029.85,0
B85414-990965,7791.66,0
B26741-724437,34062.33,0
B34684-753394,6343.03,0
B32845-867450,-34537.15,1
B23193-333096,26619.29,0
B66205-925076,-6062.89,1
B51985-546678,22765.76,0
B36731-286154,-18130.27,1
B73091-848087,-20778.89,1
B4114-474399,-8482.97,1
B18170-385483,30786.63,0
B35877-867246,-3125.61,1
B10829-301560,34590.76,0
B66420-501177,3666.31,0
B27851-728013,-4450.1,1
B78169-787164,15378.46,0
B54848-57871,22888.03,0
B5901-888412,-16936.94,1
B19290-890517,30443.2,0
B49789-47606,17976.83,0
B51093-613243,12715.06,0
B29692-489784,4544.17,0
B88991-644608,24713.53,0
B87645-494785,11644.39,0
B90012-187987,-12248.57,1
B70416-642806,16689.67,0
B77675-715720,27812.84,0
B6755-524238,15674.4,0
B70131-953215,28434.06,0
B76529-304562,29532.66,0
B55866-370617,12882.83,0
B13503-384761,13302.19,0
B78757-29881,7624.85,0
B93948-197676,33811.4,0
B53021-284949,12668.75,0
B22777-327355,5350.87,0
B96925-502834,-12520.76,1
B56761-344329,13779.87,0
B31124-208725,8323.38,0
B70413-484935,8649.39,0
B95385-131501,-5042.67,1
B92872-267150,15559.72,0
B80235-526652,25662.23,0
B19608-527984,2576.0,0
B3151-577641,16256.63,0
B87242-796319,-11401.8,1
B87335-443933,23455.54,0
B66512-189518,4268.76,0
B58435-281547,-9195.59,1
B56279-873800,-8796.14,1
B32193-268747,23147.02,0
B80838-904302,16791.07,0
B39834-681680,10437.57,0
B73623-294541,7720.91,0
B17119-190606,-9691.41,1
B83713-488943,-3269.51,1
B91894-460837,2617.71,0
B86772-636199,-8773.0,1
B73947-148738,13116.72,0
