merchant_id,merchant_name,merchant_category,merchant_city,merchant_state,is_international
M45007-837278,"Donovan, Brock and Whitaker",utilities,New Jeffreystad,WI,NO
M84077-463884,Reeves Ltd,electronics,West Timothy,DE,No
M39596-965963," Gutierrez, Glenn and Fritz ",grocery,Ericfurt,OH,No
M80152-97960,"Wong, Saunders and Carr",entertainment,West Christopher,IN,Yes
M70875-633775,Knight Inc,Utilities,Lake Brooke,MO,No
M30682-25764,Johnson-Howard,grocery,New Melanie,OH,No
M44334-39579,"Cisneros, Chapman and Bennett",travel,Port Carol,NV,No
M18678-659262,"Johnson, Tucker and Huang",electronics,Ericaton,ID,No
M94276-103339,Myers-Herrera,online_retail,South Joshuashire,KS,No
M7387-313852,Jones-Powell,dining,Richardland,PW,No
M32864-105776,Reilly-Robinson,online_retail,Port Laura,ME,Yes
M30794-481745,"Lowe, Hernandez and Vega",gas,Marilynchester,DC,No
M70453-542877,"Reese, Bright and Tanner",entertainment,Mcdanieltown,NM,No
M98235-568546,"Hughes, Clark and Brown",electronics,West Christopher,WY,No
M67072-311744,"Kaiser, Mcgrath and Rodriguez",clothing,Lisamouth,LA,No
M20373-809882,Davis-Esparza,Electronics,East Robertshire,FL,No
M49317-842929,Ross-Brewer,travel,Rebeccahaven,NJ,No
M91113-444911,Johnson-Cohen,grocery,West Michelleville,FL,No
M24539-989572,Hampton-Ford,,West Benjaminside,MD,No
M17415-147902,Clay LLC,dining,Guerratown,TX,No
M46135-642441,"Gonzalez, Edwards and Keller",utilities,South Tannerstad,VI,Yes
M12417-565588,Gibson and Sons,grocery,Lake Thomas,MI,YES
M99390-536856,"Choi, Kim and Ortiz",utilities,Port Leslieton,CO,No
M98411-837671,"Pham, Flynn and Webb",grocery,North Kevin,NE,No
M78766-384946, Duncan-Beck , entertainment,Lake Gregory,FL,No
M87719-766055,Peters-Garcia,healthcare,Lake Jim,AL,No
M76263-418907,"Hogan, Wood and Johnston",grocery,Adamsborough,TX,Yes
M7365-838893,Fry Group,grocery,North Teresa,GU,No
M12910-929569,Smith-Gutierrez,travel,Ashleyfurt,SC,No
M22007-852289,Wheeler-Atkinson,electronics,Johnhaven,RI,No
M898-252932,Parker Ltd,travel,East Gloria,KS,NO
M87129-521368,"Becker, Martinez and Black",travel,Gillview,LA,Yes
M3534-400965,Hebert-Haynes,grocery,Ashleyberg,GA,Yes
M34063-749566,"Neal, Morris and Benson", clothing,East Andreabury,CT,No
M39692-17310,Parker Group,travel,Lake Kimberly,VA,No
M8761-849213,Terry Group,healthcare,Browntown,NM,No
M46246-675434,"Rodriguez, Cohen and Evans",clothing,Ericaton,SC,No
M25191-399205, Riley PLC ,entertainment,North Crystal,MN,No
M1827-329991,Weber PLC,travel,West Cathytown,OR,No
M74309-591905,Moses and Sons,utilities,North Andrew,MI,No
M58562-708899,Burton-Booth,clothing,Danafort,CA,No
M51658-380608,Sanchez-Berger,electronics,North Tonya,DE,No
M59519-480683,"Martin, Quinn and Gordon",dining,Michaelstad,AS,No
M90931-86211, Long-Perez ,grocery,Lake Kristinfurt,VA,No
M98332-413526,Cunningham-Smith,healthcare,Sawyermouth,FM,No
M73326-489313,Hall-Mcclain,dining,South Amberchester,FM,Yes
M67273-518219,Gray Group,gas,New Amy,AR,No
M31373-567425,Lyons Group,entertainment,New Erica,LA,No
M20096-340753,Juarez-Garcia,dining,Theresatown,MT,No
M80568-387109,Vega-Shaw,electronics,Melissaberg,KY,No
M24585-816356,Clark Inc,electronics,Antonioport,PW,No
