loan_id,days_to_early_default,default_flag
L18257-997680,607,1
L93750-855955,717,1
L77489-780160,1095,0
L39886-16916,1095,0
L30398-397622,670,1
L70356-705629,1095,0
L37545-181756,1095,0
L30008-916400,1095,0
L67251-623701,1095,0
L61737-619069,1095,0
L42065-968562,598,1
L95762-187040,1095,0
L36976-31797,1095,0
L34780-754252,1095,0
L36972-270317,536,1
L19768-352299,672,1
L76692-349022,1095,0
L80228-743460,1095,0
L6913-116033,1095,0
L53828-247752,1095,0
L21955-39839,1095,0
L30540-26103,1095,0
L82217-447382,1095,0
L2403-271465,683,1
L97018-648621,1095,0
L8026-738090,1095,0
L10254-897625,1095,0
L52726-59164,654,1
L74344-909960,1095,0
L55387-374242,1095,0
L43812-917881,1095,0
L29848-948207,589,1
L17822-492405,603,1
L8414-21579,612,1
L49870-211130,1095,0
L16206-849270,1095,0
L96919-138006,1095,0
L73581-923409,1095,0
L63529-292770,1095,0
L27542-744569,1095,0
L11074-282533,1095,0
L56607-771278,1095,0
L26480-231387,1095,0
L12567-66542,709,1
L17264-110354,1095,0
L20295-759937,1095,0
L77479-147339,1095,0
L78804-239614,1095,0
L75023-304319,1095,0
L57427-314328,1095,0
L72986-570243,638,1
L35377-341498,1095,0
L25518-458873,1095,0
L25702-637494,1095,0
L53691-28974,1095,0
L91502-974377,1095,0
L68248-10993,1095,0
L6681-92415,1095,0
L51749-775852,680,1
L98674-494031,1095,0
L29064-355777,1095,0
L65133-550113,1095,0
L28859-428274,1095,0
L16959-610765,645,1
L40240-800701,699,1
L60047-928924,665,1
L81383-390336,1095,0
L60469-929645,1095,0
L88857-203015,1095,0
L24748-272147,1095,0
L11915-440881,1095,0
L15002-876966,1095,0
L48619-516157,1095,0
L78755-85604,1095,0
L91229-301046,1095,0
L82165-766289,713,1
L4182-460517,1095,0
L83583-184841,1095,0
L89554-309562,1095,0
L98151-208568,1095,0
L75843-540815,1095,0
L34425-533053,676,1
L80995-96533,631,1
L45490-800725,1095,0
L36849-931492,1095,0
L42434-389550,1095,0
L21430-458417,1095,0
L76130-377397,1095,0
L60849-32582,709,1
L93417-489471,1095,0
L74739-422458,1095,0
L78110-88555,1095,0
L7263-947002,1095,0
L33029-373405,625,1
L84828-741435,1095,0
L49291-54475,1095,0
L39376-164761,1095,0
L75331-601739,1095,0
L9214-668297,1095,0
L75941-729319,701,1
L98235-107355,1095,0
L75661-550523,1095,0
L56027-391962,1095,0
L77828-574187,1095,0
L10212-443027,458,1
L34576-963075,1095,0
L60160-918861,1095,0
L74067-983005,1095,0
L78574-944031,1095,0
L30151-524834,1095,0
L1104-132448,1095,0
L14557-27301,1095,0
L61413-807529,648,1
L30920-275694,1095,0
L69701-701547,1095,0
L7739-592549,1095,0
L27664-913369,630,1
L8210-486721,1095,0
L20456-969465,1095,0
L38160-199060,1095,0
L71832-239351,1095,0
L61872-744812,1095,0
L24259-130217,1095,0
L39923-485987,1095,0
L11411-110728,1095,0
L19183-353263,1095,0
L50601-363783,1095,0
L2866-182495,1095,0
L5524-94941,1095,0
L47355-170160,1095,0
L39320-35513,1095,0
L43776-902987,1095,0
L43641-333153,506,1
L23964-39380,1095,0
L79976-990022,1095,0
L6535-778814,720,1
L23275-996885,1095,0
L56241-209920,1095,0
L82896-521755,1095,0
L66775-192855,700,1
L23804-610539,554,1
L88174-215161,1095,0
L15775-492277,1095,0
L57488-571415,503,1
L77130-222679,1095,0
L72584-768313,683,1
L62143-213293,1095,0
L26338-30609,1095,0
L88645-436220,1095,0
L36568-251446,542,1
L12996-794681,1095,0
L99702-858872,1095,0
L60238-204368,1095,0
L80887-222282,1095,0
L53041-917553,1095,0
L21985-146187,1095,0
L12092-138350,553,1
L87730-252420,1095,0
L66369-411450,1095,0
L24650-463843,1095,0
L29675-865792,1095,0
L72800-747756,1095,0
L4896-913926,1095,0
L5128-799150,664,1
L50777-454278,1095,0
L37519-613350,1095,0
L92049-186926,1095,0
L67480-761144,1095,0
L22190-631151,1095,0
L11008-24233,1095,0
L33978-444461,1095,0
L77029-322781,1095,0
