loan_id,days_to_early_default,default_flag
L77639-244888,1095,0
L76536-178626,1095,0
L57706-660523,1095,0
L60221-295337,1095,0
L81282-356944,1095,0
L59956-709984,1095,0
L47966-462563,703,1
L4283-179147,1095,0
L28961-416872,1095,0
L65705-106843,1095,0
L32841-790520,1095,0
L61178-522788,1095,0
L93658-771877,1095,0
L17097-320902,542,1
L21336-787302,1095,0
L87661-373701,688,1
L11749-897187,1095,0
L70452-482250,1095,0
L29260-463162,1095,0
L83128-144753,1095,0
L79160-332781,1095,0
L13232-736029,626,1
L74853-374199,1095,0
L25819-438689,645,1
L27184-187530,704,1
L31251-973384,624,1
L64708-711171,1095,0
L47880-718410,1095,0
L49122-585934,1095,0
L14339-291835,1095,0
L35734-87839,1095,0
L95410-13998,1095,0
L6211-53514,1095,0
L85008-520081,1095,0
L52669-966775,1095,0
L43653-776610,1095,0
L98005-577012,1095,0
L586-664585,1095,0
L90303-667579,1095,0
L63806-662255,545,1
L46009-179870,1095,0
L36153-986976,1095,0
L22024-684281,1095,0
L68222-221617,613,1
L69093-494606,1095,0
L18161-955453,1095,0
L65411-37268,1095,0
L56946-210008,1095,0
L92679-814524,1095,0
L51264-301995,1095,0
L50940-615525,534,1
L29370-952246,1095,0
L99869-60598,669,1
L65905-895120,1095,0
L22569-197721,1095,0
L96564-332924,1095,0
L8044-80081,1095,0
L47629-839268,1095,0
L72745-910441,712,1
L31818-402816,631,1
L2284-408581,679,1
L58473-135585,1095,0
L93586-699938,1095,0
L93727-17829,1095,0
L21850-662839,1095,0
L17346-952958,1095,0
L98980-812646,1095,0
L38984-606923,1095,0
L65661-581403,715,1
L82793-587152,1095,0
L87012-750349,1095,0
L39566-437447,1095,0
L94633-418986,550,1
L10769-70907,1095,0
L89850-339566,1095,0
L38124-730639,1095,0
L45432-985735,597,1
L29889-419852,1095,0
L54863-58045,711,1
L62961-481605,1095,0
L7519-736481,1095,0
L8166-771022,1095,0
L17328-431330,1095,0
L5369-851950,1095,0
L66111-133732,573,1
L27893-795686,658,1
L5266-385107,1095,0
L88107-551224,591,1
L80574-250346,1095,0
L45988-209632,1095,0
L78588-91103,1095,0
L9523-975253,1095,0
L1982-668279,647,1
L96703-417867,1095,0
L15911-510222,1095,0
L29240-516765,1095,0
L46206-73726,1095,0
L75186-918755,1095,0
L91814-989118,1095,0
L7629-939359,1095,0
L112-89961,634,1
L52598-524832,1095,0
L45342-353982,650,1
L50449-194699,1095,0
L17987-903443,1095,0
L76819-546023,1095,0
