customer_id,adopted_new_product
C76920-975458,1
C82486-135142,1
C60363-809517,1
C16123-343699,0
C64920-509984,1
C59835-533758,1
C63055-926669,1
C68069-807242,1
C5411-512741,0
C25758-644981,1
C18531-692149,0
C66903-613230,1
C31651-378234,0
C3990-158608,1
C80138-458992,0
C10727-289738,1
C8892-767957,1
C74069-597605,1
C23997-690750,0
C68248-808792,0
C80177-582686,1
C36020-451249,0
C69579-562490,1
C89575-659118,0
C79053-515430,0
C40857-252903,0
C9792-564853,0
C45858-726907,0
C65797-144878,0
C37165-368464,1
C92193-217759,0
C99399-258521,0
C40497-840087,0
C89889-304963,0
C55691-973841,0
C24400-890584,0
C39199-233400,0
C8671-551510,0
C52351-429520,0
C96454-64492,0
C98118-963298,1
C8210-871023,0
C98906-233904,1
C306-764535,0
C50115-643435,1
C88039-253611,0
C56144-769874,0
C67314-114740,1
C55920-430320,0
C81834-934549,1
C93526-942640,0
C42657-490494,1
C69263-499858,0
C26039-757980,0
C18147-664436,1
C26205-672210,0
C22076-985466,0
C44362-706938,0
C66942-722212,1
C92887-73403,0
C55116-353999,0
C22059-648947,0
C5630-330013,0
C97604-859498,0
C51105-822818,0
C39453-703782,1
C83311-382406,0
C65418-799393,1
C26836-785962,1
C94309-636367,0
C954-492328,0
C7492-231736,0
C87192-66563,0
C70567-173968,0
C52762-513913,0
C98606-892903,0
C12788-265407,0
C25442-761118,0
C67963-28660,1
C52183-876774,0
C22771-79024,1
C86302-677136,1
C15808-163723,0
C92006-856068,0
C11511-294878,1
C3011-925177,0
C83863-989956,0
C8780-542243,1
C84996-852823,0
C47354-408848,0
C46943-953471,0
C96701-991596,0
C31716-786553,0
C7500-811741,1
C51507-334875,0
C59140-783228,0
C29399-546329,0
C5639-242735,0
C90372-43219,0
C91512-970784,1
C86931-125574,0
C4087-199672,0
C86516-176118,0
C3536-111943,0
C74390-609137,0
C5995-964601,0
C19838-572185,0
C94760-529388,0
C45814-892798,0
C43584-577159,0
C43625-85813,0
C63308-920293,0
C33928-329907,1
C401-582684,0
C66335-11601,0
C65826-356763,1
C6202-614716,0
C50436-957662,1
C11193-767876,0
C57058-967504,1
C82174-989137,0
C99813-76736,1
C45117-435694,1
C10747-561214,0
C8816-297484,1
C2468-565799,0
C91183-318233,0
C88022-902571,0
C32197-90264,1
C11066-920145,0
C99257-596777,0
C49826-926337,0
C50400-908113,0
C55709-25695,1
C53106-564068,0
C15438-880471,0
C68127-702337,0
C48847-350119,1
C54121-613910,1
C69778-525979,0
C72715-506349,0
C94576-420548,0
C90952-188414,0
C3443-306948,1
C59738-112318,0
C61489-568636,1
C9535-349285,0
C54440-98218,1
C60503-90248,1
C35347-547570,0
C79705-746365,0
C16464-240015,0
C4711-163064,1
C27763-119718,0
C57779-738053,0
C49215-624192,1
C91107-973279,1
C66487-738501,1
C18171-680430,1
C72469-600098,1
C70688-28340,0
C97956-555396,0
C20864-182096,0
C86127-539308,0
C3473-521005,0
C97632-174444,0
C27450-666708,0
C76897-185734,1
C20458-992476,0
C3367-501566,0
C82845-111104,0
C26192-930990,0
C512-23844,0
C18988-969541,0
C47395-472968,0
C83142-186677,1
C59131-543736,1
C88826-499490,1
C44911-556287,0
C36308-811116,1
C43386-717505,1
C21452-957961,0
C55169-977860,0
C14497-144649,1
C41655-863456,0
C828-770431,0
C40054-983880,0
C79559-599802,0
C64032-786240,1
C35370-302522,0
C59263-548992,1
C11230-969908,0
C87608-916341,0
C60666-980481,0
C66803-641270,0
C27292-352728,0
C11274-568321,1
C74560-567189,1
C48236-48779,1
C21777-82496,0
C88958-126624,0
C91892-230378,0
C91367-569590,0
C15585-484371,0
C9535-231909,0
C99935-694847,0
C33691-920996,0
C67741-598469,0
C22800-734979,1
C20659-814450,0
C61742-128826,0
C76639-413588,1
C91462-847257,0
C13943-964684,0
C71826-465005,0
C17740-38137,0
C52836-27925,0
C19187-917933,0
C41530-80729,0
C78959-531678,0
C99757-744569,0
C11075-71943,0
C21547-95106,0
C90569-533328,0
C24059-824858,0
C66303-43975,0
C33407-899625,1
C47705-773772,0
C57143-565964,0
C97107-86351,1
C82944-758248,1
C27632-389758,1
C34449-115119,1
C58241-828342,1
C23893-755528,0
C1115-131303,1
C62392-802087,1
C4258-98373,0
C62780-626114,1
C18117-541769,0
C8802-195657,1
C23674-342428,0
C69272-780655,0
C4909-41729,0
C32301-971204,0
C34916-286123,0
C45206-534743,1
C54032-639840,0
C17200-331092,0
C36287-464692,0
C58117-668429,0
C50022-229118,1
C37231-441539,1
C74063-263721,0
C24385-806024,0
C37541-878515,0
C53782-642196,0
C26034-595403,0
C75845-788585,0
C97339-700524,0
C52429-537407,0
C43188-308744,1
C20063-725124,0
C55223-204320,0
C14488-742973,1
C5669-125709,0
C69936-601781,1
C36686-458945,0
C71874-729510,0
C11737-932318,0
C41340-223499,0
C83907-703631,0
C33534-851638,1
C69824-305691,1
C11414-839938,0
C87144-685590,0
C87605-488881,1
C93329-38309,0
C51845-265570,0
C81918-326672,0
C52896-376478,0
C79204-135153,0
C59499-111286,0
C50528-210376,0
C402-112497,0
C5222-644062,1
C84817-458746,0
C73788-305574,0
C90925-547276,1
C1162-548451,1
C7661-436175,0
C82252-795254,0
C26169-46121,0
C81364-32705,1
C63081-436411,1
C28124-670973,1
C1705-534512,0
C71258-515747,1
C77249-967090,1
C56238-304037,0
C76225-463219,0
C16489-863989,1
C30205-289593,1
C64423-523822,0
C58167-319383,0
C37076-912485,1
C78577-180638,1
C42633-496139,1
C20718-10309,1
C88058-704792,0
C9965-942342,1
C5387-345008,0
C34487-383049,0
C19316-195891,1
C79867-235083,1
C97929-828161,1
C36358-955073,0
C96673-802039,0
C335-603343,1
C43029-622538,1
C8667-291508,0
C44025-985488,0
C8107-685831,0
C41932-707399,0
C86840-743614,0
C19382-761151,0
C24030-12416,0
C177-634578,0
C17084-485496,0
C43403-676520,1
C75146-654903,0
C39811-574058,1
C71620-705350,0
C34116-946705,0
C18481-168779,0
C92363-118352,0
C11402-464616,0
C67606-187562,0
C55017-797009,1
C71424-981498,1
C5508-812595,1
C25153-848399,0
C9546-916530,0
C97820-578858,0
C82970-196852,1
C32365-451027,0
C29586-11075,1
C40731-933244,0
C3856-391990,0
C16578-917550,1
C77934-80020,0
C76016-242667,0
C73419-572513,1
C60379-213265,0
C53128-598843,1
C226-441295,0
C65410-69094,0
C86166-234270,0
C44427-920011,1
C47982-594573,0
C22216-582764,0
C36344-849791,0
C47623-501818,1
C39382-282772,0
C56364-320262,0
C57645-866273,1
C39324-497356,0
C98045-369729,0
C40838-392050,1
C49788-842338,0
C8677-723223,0
C70607-592740,0
C87995-617226,1
C16341-152286,1
C46263-506021,1
C49940-853481,0
C52953-716058,0
C42049-182820,0
C2582-239139,1
C24542-565839,0
C93601-113105,0
C2179-95041,1
C90497-943127,0
C33636-931560,0
C64177-604478,0
C48402-311530,1
C28965-770489,1
C38100-97706,0
C11585-765319,0
C38665-769765,0
C25622-502066,0
C55268-104079,1
C12442-676481,0
C99885-933094,0
C26499-791851,0
C55206-967573,1
C24260-351451,0
C85695-716652,1
C16132-514780,1
C2298-239064,1
C36320-901227,1
C41974-746422,0
C31519-677178,0
C42980-655159,0
C15458-214179,0
